n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max,PTC_min,KAKTUS_min,DVODELEN_min,MAX_DEG_min,C3_min,C4_min,C5_min,C6_min,PTC_max,KAKTUS_max,DVODELEN_max,MAX_DEG_max,C3_max,C4_max,C5_max,C6_max
14,3,105,252,slike_geodesic_min/graf_geodesic_min_mu3_n14.png,slike_geodesic_max/graf_geodesic_max_mu3_n14.png,M??CCF~O@?A?A?@??,M_G_?c@_D?Bog??O?,true,false,false,8,4,0,0,0,true,true,true,4,0,3,0,0
15,3,120,300,slike_geodesic_min/graf_geodesic_min_mu3_n15.png,slike_geodesic_max/graf_geodesic_max_mu3_n15.png,N??CCF~O@?A?A?@??A?,N_G_?c@_D?Bog??OO??,true,false,false,8,4,0,0,0,true,true,true,5,0,3,0,0
16,3,136,356,slike_geodesic_min/graf_geodesic_min_mu3_n16.png,slike_geodesic_max/graf_geodesic_max_mu3_n16.png,O??CCF~O@?A?A?@??A??O,O?G_?DP_D?@og??PO?C??,true,false,false,8,4,0,0,0,true,true,true,5,0,3,0,0
17,3,153,413,slike_geodesic_min/graf_geodesic_min_mu3_n17.png,slike_geodesic_max/graf_geodesic_max_mu3_n17.png,P??CCF~O@?A?A?@??A??O?@?,P?G_?DP_D?@og??PO?C??_??,true,false,false,8,4,0,0,0,true,true,true,6,0,3,0,0
18,3,171,478,slike_geodesic_min/graf_geodesic_min_mu3_n18.png,slike_geodesic_max/graf_geodesic_max_mu3_n18.png,Q??CCF~O@?A?A?@??A??O?@??A?,Q?G_?DP?L?@og??P?????_?A??o,true,false,false,8,4,0,0,0,true,true,true,4,0,3,0,0
19,3,190,544,slike_geodesic_min/graf_geodesic_min_mu3_n19.png,slike_geodesic_max/graf_geodesic_max_mu3_n19.png,R??CCF~O@?A?A?@??A??O?@??A??A?,R?G_?DP?L?@og??P?????_?A??s???,true,false,false,8,4,0,0,0,true,true,true,5,0,3,0,0
20,3,210,618,slike_geodesic_min/graf_geodesic_min_mu3_n20.png,slike_geodesic_max/graf_geodesic_max_mu3_n20.png,S??CCF~O@?A?A?@??A??O?@??A??A??@?,S?G_?DP_D?@og??P?????_?A??S??A?@?,true,false,false,8,4,0,0,0,true,true,true,6,0,3,0,0
21,3,231,693,slike_geodesic_min/graf_geodesic_min_mu3_n21.png,slike_geodesic_max/graf_geodesic_max_mu3_n21.png,T??CCF~O@?A?A?@??A??O?@??A??A??@???O,T?G_?DP_D?@og??P?????_?A??S??A?@A???,true,false,false,8,4,0,0,0,true,true,true,7,0,3,0,0
22,3,253,776,slike_geodesic_min/graf_geodesic_min_mu3_n22.png,slike_geodesic_max/graf_geodesic_max_mu3_n22.png,U??CCF~O@?A?A?@??A??O?@??A??A??@???O??A?,U?G_AD?_??@og??P????O_?A_??_?A_@A???_?C?,true,false,false,8,4,0,0,0,true,true,true,6,0,3,0,0
23,3,276,860,slike_geodesic_min/graf_geodesic_min_mu3_n23.png,slike_geodesic_max/graf_geodesic_max_mu3_n23.png,V??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G?,V?G_AD?_??@og??P????O_?A_??_?A_@A???_?CC????,true,false,false,8,4,0,0,0,true,true,true,7,0,3,0,0
24,3,300,952,slike_geodesic_min/graf_geodesic_min_mu3_n24.png,slike_geodesic_max/graf_geodesic_max_mu3_n24.png,W??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O,W?G_AD?_??@og??P????O_?A_??_?A_@A???_?C??@?O???,true,false,false,8,4,0,0,0,true,true,true,7,0,3,0,0
