n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max
15,6,120,442,slike_geodesic_min/graf_geodesic_min_mu6_n15.png,slike_geodesic_max/graf_geodesic_max_mu6_n15.png,N?ACKN~O@?A?A??C?@?,N_?wOCHK?LOG_O@C?A?
16,6,136,504,slike_geodesic_min/graf_geodesic_min_mu6_n16.png,slike_geodesic_max/graf_geodesic_max_mu6_n16.png,O?ACKN~O@?A?A??C?@??G,O_?WOCXG?LOG_O@C?a??_
17,6,153,678,slike_geodesic_min/graf_geodesic_min_mu6_n17.png,slike_geodesic_max/graf_geodesic_max_mu6_n17.png,P?ACKN~O@?A?A??C?@??G??_,P_GO_CPA?LOG_OGC?aA??@C?
18,6,171,860,slike_geodesic_min/graf_geodesic_min_mu6_n18.png,slike_geodesic_max/graf_geodesic_max_mu6_n18.png,Q?ACKN~O@?A?A??C?@??G??_?@?,Q?GO_CPA?LOGo?GC?aCA?@C?_??
19,6,190,1043,slike_geodesic_min/graf_geodesic_min_mu6_n19.png,slike_geodesic_max/graf_geodesic_max_mu6_n19.png,R?ACKN~O@?A?A??C?@??G??_?@??@?,R_GOaCPA?LO?_OG??aC??@C?_O??A?
20,6,210,1231,slike_geodesic_min/graf_geodesic_min_mu6_n20.png,slike_geodesic_max/graf_geodesic_max_mu6_n20.png,S?ACKN~O@?A?A??C?@??G??_?@??@???_,S_GOaCPA?LO?_OG??aC??@C?_O??AC???
21,6,231,1447,slike_geodesic_min/graf_geodesic_min_mu6_n21.png,slike_geodesic_max/graf_geodesic_max_mu6_n21.png,T?ACKN~O@?A?A??C?@??G??_?@??@???_??G,T_GOaCPA?LO?_????aCA?@C?_O@?A@????A?
22,6,253,1668,slike_geodesic_min/graf_geodesic_min_mu6_n22.png,slike_geodesic_max/graf_geodesic_max_mu6_n22.png,U?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@?,U_GOaCPA?LO?_????aCA?@C?_O@?A@????A?_???
23,6,276,1917,slike_geodesic_min/graf_geodesic_min_mu6_n23.png,slike_geodesic_max/graf_geodesic_max_mu6_n23.png,V?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C?,V_GOaCPA?L???@???aCA?@C?_O??A@?A???@_@?????_
24,6,300,2171,slike_geodesic_min/graf_geodesic_min_mu6_n24.png,slike_geodesic_max/graf_geodesic_max_mu6_n24.png,W?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G,W_GOaCPA?L???@???aCA?@C?_O???@?A???@_@?_???c???
25,6,325,2453,slike_geodesic_min/graf_geodesic_min_mu6_n25.png,slike_geodesic_max/graf_geodesic_max_mu6_n25.png,X?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G,X_GOaCPA?L???@???aCA?@C?_O???@?A???@_@?_???c???G???
26,6,351,2982,slike_geodesic_min/graf_geodesic_min_mu6_n26.png,slike_geodesic_max/graf_geodesic_max_mu6_n26.png,Y?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G???C?,Y_GOaCPA?H???????aCA?@C?_O??G@??A?C??@????@??WGG??@???@?
27,6,378,3415,slike_geodesic_min/graf_geodesic_min_mu6_n27.png,slike_geodesic_max/graf_geodesic_max_mu6_n27.png,Z?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G???C???@?,Z_GOaCPA?H???????aCA?@C?_O??G@??A?C??@????@??WGG??@???@????_
28,6,406,3849,slike_geodesic_min/graf_geodesic_min_mu6_n28.png,slike_geodesic_max/graf_geodesic_max_mu6_n28.png,[?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G,[_GOaCPA?H???????aCA?@C?_O??G@??A?C??@????@??WGG??@???@????_???G
29,6,435,4284,slike_geodesic_min/graf_geodesic_min_mu6_n29.png,slike_geodesic_max/graf_geodesic_max_mu6_n29.png,\?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_,\_GOaCPA?H???????aCA?@C?_O??G@??A?C??@????@??WGG??@???@????_???G???@?
30,6,465,4767,slike_geodesic_min/graf_geodesic_min_mu6_n30.png,slike_geodesic_max/graf_geodesic_max_mu6_n30.png,]?ACKN~O@?A?A??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_???@?,]_GOaCPA?H???????aCA?@C?_O??G@??A?C??@????@??WGG??@???@????_???G???@????G?
10,7,55,144,slike_geodesic_min/graf_geodesic_min_mu7_n10.png,slike_geodesic_max/graf_geodesic_max_mu7_n10.png,I?`CSV~G?,IIdGSks__
11,7,66,192,slike_geodesic_min/graf_geodesic_min_mu7_n11.png,slike_geodesic_max/graf_geodesic_max_mu7_n11.png,J?`CSV~G?_?,JYCQXe?oOW?
12,7,78,256,slike_geodesic_min/graf_geodesic_min_mu7_n12.png,slike_geodesic_max/graf_geodesic_max_mu7_n12.png,K?`CSV~G?_?A,Kc?hAdQGWKo?
